run,randomSeed,margin_perc_spread,firms_risk_premium,inn_exponent,perc_total_credit,months_of_income,prop_consume_wealth,information_dispersion,cons_risk_premium,res_wage_adjustment,rep_exponent,VacanRatio.UnempRate
1,-1860909959,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.01,0.5,-0.96
2,-1860909277,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.01,1,-0.94
3,-1860911032,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.01,1.5,-0.97
4,-1860911524,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.01,2,-0.67
5,-1860908218,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.04,0.5,-0.88
6,-1860912731,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.04,1,-0.82
8,-1860891963,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.04,2,-0.92
9,-1860894548,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.07,0.5,-0.92
10,-1860894487,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.07,1,-0.96
12,-1860894727,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.07,2,-0.98
7,-1860888299,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.04,1.5,-0.93
11,-1860889556,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.07,1.5,-0.91
16,-1860883158,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.1,2,-0.84
18,-1860882116,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.01,1,-0.92
15,-1860881841,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.1,1.5,-0.96
14,-1860877918,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.1,1,-0.66
17,-1860873109,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.01,0.5,-0.8
22,-1860871172,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.04,1,-0.98
13,-1860874082,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.1,0.5,-0.87
24,-1860868854,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.04,2,-0.98
21,-1860866352,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.04,0.5,-0.97
20,-1860863330,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.01,2,-0.88
28,-1860856488,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.07,2,-0.87
30,-1860855034,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.1,1,-0.79
23,-1860856553,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.04,1.5,-0.97
27,-1860852995,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.07,1.5,-0.93
19,-1860856009,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.01,1.5,-0.93
26,-1860849544,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.07,1,-0.96
34,-1860842769,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.01,1,-0.68
36,-1860841235,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.01,2,-0.88
33,-1860838699,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.01,0.5,-0.97
32,-1860835097,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.1,2,-0.56
29,-1860840191,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.1,0.5,-0.99
25,-1860836713,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.07,0.5,-0.8
40,-1860828885,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.04,2,-0.94
42,-1860827116,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.07,1,-0.98
39,-1860824426,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.04,1.5,-0.6
38,-1860822803,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.04,1,-0.98
35,-1860821191,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.01,1.5,-0.93
46,-1860815199,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.1,1,-0.92
31,-1860818323,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.1,1.5,-0.83
45,-1860810194,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.1,0.5,-0.91
44,-1860808294,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.07,2,-0.84
48,-1860811571,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.1,2,-0.92
41,-1860804061,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.07,0.5,-0.92
52,-1860800610,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.01,2,-0.99
50,-1860796191,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.01,1,-0.91
51,-1860796707,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.01,1.5,-0.85
54,-1860795988,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.04,1,-0.97
37,-1860799636,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.04,0.5,-0.89
47,-1860788894,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.1,1.5,-0.98
58,-1860786018,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.07,1,-0.85
60,-1860782774,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.07,2,-0.98
57,-1860783832,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.07,0.5,-0.96
56,-1860783949,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.04,2,-0.96
43,-1860780963,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.07,1.5,-0.85
64,-1860771323,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.1,2,-0.98
53,-1860772020,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.04,0.5,-0.9
