run,randomSeed,margin_perc_spread,firms_risk_premium,inn_exponent,perc_total_credit,months_of_income,prop_consume_wealth,information_dispersion,cons_risk_premium,res_wage_adjustment,rep_exponent,GdpGrowth.UnempRate
1,-1860909959,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.01,0.5,-0.55
2,-1860909277,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.01,1,-0.62
3,-1860911032,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.01,1.5,-0.52
4,-1860911524,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.01,2,-0.43
5,-1860908218,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.04,0.5,-0.56
6,-1860912731,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.04,1,-0.53
8,-1860891963,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.04,2,0.43
9,-1860894548,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.07,0.5,0.48
10,-1860894487,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.07,1,0.44
12,-1860894727,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.07,2,0.4
7,-1860888299,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.04,1.5,0.49
11,-1860889556,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.07,1.5,0.35
16,-1860883158,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.1,2,0.47
18,-1860882116,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.01,1,0.35
15,-1860881841,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.1,1.5,0.48
14,-1860877918,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.1,1,0.36
17,-1860873109,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.01,0.5,0.57
22,-1860871172,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.04,1,0.42
13,-1860874082,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.1,0.5,0.37
24,-1860868854,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.04,2,0.49
21,-1860866352,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.04,0.5,0.38
20,-1860863330,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.01,2,0.43
28,-1860856488,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.07,2,0.39
30,-1860855034,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.1,1,0.34
23,-1860856553,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.04,1.5,0.4
27,-1860852995,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.07,1.5,0.45
19,-1860856009,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.01,1.5,0.48
26,-1860849544,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.07,1,0.41
34,-1860842769,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.01,1,0.44
36,-1860841235,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.01,2,0.47
33,-1860838699,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.01,0.5,0.39
32,-1860835097,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.1,2,0.33
29,-1860840191,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.1,0.5,0.41
25,-1860836713,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.07,0.5,0.35
40,-1860828885,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.04,2,0.43
42,-1860827116,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.07,1,0.42
39,-1860824426,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.04,1.5,0.4
38,-1860822803,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.04,1,0.43
35,-1860821191,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.01,1.5,0.47
46,-1860815199,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.1,1,0.43
31,-1860818323,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.1,1.5,0.35
45,-1860810194,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.1,0.5,0.35
44,-1860808294,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.07,2,0.35
48,-1860811571,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.1,2,0.5
41,-1860804061,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.07,0.5,0.32
52,-1860800610,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.01,2,0.45
50,-1860796191,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.01,1,0.58
51,-1860796707,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.01,1.5,0.42
54,-1860795988,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.04,1,0.37
37,-1860799636,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.04,0.5,0.42
47,-1860788894,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.1,1.5,0.44
58,-1860786018,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.07,1,0.34
60,-1860782774,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.07,2,0.5
57,-1860783832,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.07,0.5,0.33
56,-1860783949,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.04,2,0.43
43,-1860780963,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.07,1.5,0.45
64,-1860771323,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.1,2,0.42
53,-1860772020,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.04,0.5,0.27
62,-1860769019,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.1,1,0.4
66,-1860769484,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.01,1,0.39
63,-1860769349,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.1,1.5,0.49
49,-1860763684,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.01,0.5,0.39
70,-1860756985,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.04,1,0.44
68,-1860755219,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.01,2,0.5
69,-1860754605,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.04,0.5,0.49
72,-1860754629,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.04,2,0.38
59,-1860755438,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.07,1.5,0.5
75,-1860740881,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.07,1.5,0.53
76,-1860743259,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.07,2,0.46
74,-1860742822,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.07,1,0.43
55,-1860746308,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.04,1.5,0.47
78,-1860739924,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.1,1,0.41
65,-1860737990,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.01,0.5,0.43
81,-1860729592,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.01,0.5,0.54
82,-1860729588,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.01,1,0.53
80,-1860728345,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.1,2,0.28
84,-1860725484,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.01,2,0.49
61,-1860727268,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.1,0.5,0.45
71,-1860720911,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.04,1.5,0.52
87,-1860717764,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.04,1.5,0.54
88,-1860714083,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.04,2,0.41
86,-1860712742,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.04,1,0.46
90,-1860709489,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.07,1,0.43
77,-1860704994,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.1,0.5,0.33
93,-1860703234,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.1,0.5,0.34
67,-1860707572,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.01,1.5,0.43
92,-1860699039,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.07,2,0.38
94,-1860699971,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.1,1,0.39
96,-1860697909,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.1,2,0.39
99,-1860690143,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.01,1.5,0.45
98,-1860687770,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.01,1,0.54
100,-1860686824,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.01,2,0.52
83,-1860690256,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.01,1.5,0.51
73,-1860690041,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.07,0.5,0.36
102,-1860683663,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.04,1,0.39
105,-1860676835,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.07,0.5,0.42
106,-1860674423,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.07,1,0.44
