run,randomSeed,margin_perc_spread,firms_risk_premium,inn_exponent,perc_total_credit,months_of_income,prop_consume_wealth,information_dispersion,cons_risk_premium,res_wage_adjustment,rep_exponent,GdpDev.UnempRate,Inflation.UnempRate
1,-1860909959,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.01,0.5,-0.28,0.14
2,-1860909277,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.01,1,-0.28,-0.26
3,-1860911032,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.01,1.5,-0.26,-0.34
4,-1860911524,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.01,2,-0.23,-0.31
5,-1860908218,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.04,0.5,-0.26,-0.27
6,-1860912731,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.04,1,-0.22,-0.36
8,-1860891963,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.04,2,0.04,-0.21
9,-1860894548,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.07,0.5,0.04,0.34
10,-1860894487,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.07,1,0.04,0.31
12,-1860894727,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.07,2,0.04,-0.41
7,-1860888299,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.04,1.5,0.07,-0.28
11,-1860889556,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.07,1.5,0.03,-0.37
16,-1860883158,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.1,2,0.05,-0.38
18,-1860882116,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.01,1,0.03,-0.34
15,-1860881841,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.1,1.5,0.04,0.29
14,-1860877918,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.1,1,0.03,-0.31
17,-1860873109,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.01,0.5,0.11,-0.37
22,-1860871172,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.04,1,0.03,-0.02
13,-1860874082,0.1,0.1,0.5,0.1,6,0.1,0.1,0.1,0.1,0.5,0.04,-0.38
24,-1860868854,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.04,2,0.05,0.09
21,-1860866352,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.04,0.5,0.04,-0.29
20,-1860863330,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.01,2,0.02,0.01
28,-1860856488,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.07,2,0.04,-0.31
30,-1860855034,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.1,1,0.03,-0.31
23,-1860856553,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.04,1.5,0.04,0.28
27,-1860852995,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.07,1.5,0.04,0.31
19,-1860856009,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.01,1.5,0.05,0.26
26,-1860849544,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.07,1,0.03,-0.37
34,-1860842769,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.01,1,0.05,0.28
36,-1860841235,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.01,2,0.04,-0.42
33,-1860838699,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.01,0.5,0.03,0.32
32,-1860835097,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.1,2,0.02,0.25
29,-1860840191,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.1,0.5,0.03,0.2
25,-1860836713,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.07,0.5,0.04,-0.46
40,-1860828885,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.04,2,0.04,-0.37
42,-1860827116,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.07,1,0.05,0.16
39,-1860824426,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.04,1.5,0.05,0.24
38,-1860822803,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.04,1,0.04,-0.33
35,-1860821191,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.01,1.5,0.06,-0.33
46,-1860815199,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.1,1,0.05,-0.06
31,-1860818323,0.1,0.1,0.5,0.1,6,0.1,0.1,0.4,0.1,1.5,0.04,0.4
45,-1860810194,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.1,0.5,0.03,-0.31
44,-1860808294,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.07,2,0.04,0.11
48,-1860811571,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.1,2,0.06,0.32
41,-1860804061,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.07,0.5,0.03,-0.36
52,-1860800610,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.01,2,0.04,0.33
50,-1860796191,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.01,1,0.14,-0.28
51,-1860796707,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.01,1.5,0.05,0.23
54,-1860795988,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.04,1,0.03,-0.37
37,-1860799636,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.04,0.5,0.04,-0.06
47,-1860788894,0.1,0.1,0.5,0.1,6,0.1,0.1,0.7,0.1,1.5,0.04,0.3
58,-1860786018,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.07,1,0.02,-0.41
60,-1860782774,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.07,2,0.06,0.31
57,-1860783832,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.07,0.5,0.02,0.26
