Data,IPCA - inflação acumulada para os próximos 12 meses - variação % - Média - Período de 27/07/2000 a 26/07/2002
07/11/2001,5.52
08/11/2001,5.67
09/11/2001,5.39
12/11/2001,5.40
13/11/2001,5.43
14/11/2001,5.49
16/11/2001,5.44
19/11/2001,5.43
20/11/2001,5.43
21/11/2001,5.44
22/11/2001,5.44
23/11/2001,5.45
26/11/2001,5.46
27/11/2001,5.50
28/11/2001,5.51
29/11/2001,5.54
30/11/2001,5.57
03/12/2001,5.56
04/12/2001,5.56
05/12/2001,5.57
06/12/2001,5.57
07/12/2001,5.59
10/12/2001,5.59
11/12/2001,5.56
12/12/2001,5.16
13/12/2001,5.16
14/12/2001,5.12
17/12/2001,5.12
18/12/2001,5.09
19/12/2001,5.11
20/12/2001,5.04
21/12/2001,5.01
24/12/2001,5.00
26/12/2001,4.98
27/12/2001,4.94
28/12/2001,4.85
31/12/2001,4.84
02/01/2002,4.81
03/01/2002,4.80
04/01/2002,4.76
07/01/2002,4.74
08/01/2002,4.76
09/01/2002,4.74
10/01/2002,4.75
11/01/2002,4.72
14/01/2002,4.72
15/01/2002,4.73
16/01/2002,4.73
17/01/2002,4.73
18/01/2002,4.75
21/01/2002,4.74
22/01/2002,4.75
23/01/2002,4.75
24/01/2002,4.75
25/01/2002,4.76
28/01/2002,4.79
29/01/2002,4.76
30/01/2002,4.76
31/01/2002,4.76
01/02/2002,4.77
04/02/2002,4.76
05/02/2002,4.77
06/02/2002,4.76
07/02/2002,4.77
08/02/2002,4.68
11/02/2002,4.66
13/02/2002,4.66
14/02/2002,4.65
15/02/2002,4.65
18/02/2002,4.65
19/02/2002,4.64
20/02/2002,4.64
21/02/2002,4.65
22/02/2002,4.67
25/02/2002,4.67
26/02/2002,4.66
27/02/2002,4.68
28/02/2002,4.70
01/03/2002,4.72
04/03/2002,4.72
05/03/2002,4.75
06/03/2002,4.76
07/03/2002,4.78
08/03/2002,4.78
11/03/2002,4.78
12/03/2002,4.71
13/03/2002,4.73
14/03/2002,4.79
15/03/2002,4.82
18/03/2002,4.82
19/03/2002,4.81
20/03/2002,4.81
21/03/2002,4.81
22/03/2002,4.85
25/03/2002,4.91
26/03/2002,4.93
27/03/2002,4.95
28/03/2002,4.94
01/04/2002,4.97
02/04/2002,4.98
03/04/2002,4.99
04/04/2002,5.07
05/04/2002,5.10
08/04/2002,5.11
09/04/2002,5.09
10/04/2002,4.91
11/04/2002,4.89
12/04/2002,4.90
15/04/2002,4.92
16/04/2002,4.91
17/04/2002,4.87
18/04/2002,4.86
19/04/2002,4.86
22/04/2002,4.84
23/04/2002,4.85
24/04/2002,4.89
25/04/2002,4.91
26/04/2002,4.91
29/04/2002,4.90
30/04/2002,4.90
02/05/2002,4.90
03/05/2002,4.90
06/05/2002,4.89
07/05/2002,4.90
08/05/2002,4.90
09/05/2002,4.90
10/05/2002,4.37
13/05/2002,4.38
14/05/2002,4.38
15/05/2002,4.40
16/05/2002,4.39
17/05/2002,4.41
20/05/2002,4.41
21/05/2002,4.40
22/05/2002,4.40
23/05/2002,4.39
24/05/2002,4.39
27/05/2002,4.38
28/05/2002,4.37
29/05/2002,4.38
31/05/2002,4.37
03/06/2002,4.37
04/06/2002,4.38
05/06/2002,4.39
06/06/2002,4.39
07/06/2002,4.39
10/06/2002,4.38
11/06/2002,4.37
12/06/2002,4.32
13/06/2002,4.33
14/06/2002,4.37
17/06/2002,4.40
18/06/2002,4.40
19/06/2002,4.41
20/06/2002,4.43
21/06/2002,4.45
24/06/2002,4.50
25/06/2002,4.55
26/06/2002,4.56
27/06/2002,4.59
28/06/2002,4.57
01/07/2002,4.64
02/07/2002,4.65
03/07/2002,4.70
04/07/2002,4.72
05/07/2002,4.76
08/07/2002,4.80
09/07/2002,4.82
10/07/2002,4.77
11/07/2002,4.81
12/07/2002,4.85
15/07/2002,4.89
16/07/2002,4.90
17/07/2002,4.91
18/07/2002,4.93
19/07/2002,4.95
22/07/2002,4.96
23/07/2002,4.97
24/07/2002,4.99
25/07/2002,5.01
26/07/2002,5.00
29/07/2002,5.02
30/07/2002,5.04
31/07/2002,5.08
01/08/2002,5.15
02/08/2002,5.15
05/08/2002,5.21
06/08/2002,5.25
07/08/2002,5.25
08/08/2002,5.29
09/08/2002,4.79
12/08/2002,4.86
13/08/2002,4.89
14/08/2002,4.91
15/08/2002,4.94
16/08/2002,4.97
19/08/2002,5.12
20/08/2002,5.18
21/08/2002,5.22
22/08/2002,5.22
23/08/2002,5.24
26/08/2002,5.28
27/08/2002,5.31
28/08/2002,5.37
29/08/2002,5.39
30/08/2002,5.40
02/09/2002,5.53
03/09/2002,5.54
04/09/2002,5.56
05/09/2002,5.59
06/09/2002,5.63
09/09/2002,5.70
10/09/2002,5.63
11/09/2002,5.63
12/09/2002,5.65
13/09/2002,5.70
16/09/2002,5.78
17/09/2002,5.78
18/09/2002,5.80
19/09/2002,5.84
20/09/2002,5.81
23/09/2002,5.87
24/09/2002,5.89
25/09/2002,5.92
26/09/2002,6.04
27/09/2002,6.27
30/09/2002,6.28
01/10/2002,6.36
02/10/2002,6.53
03/10/2002,6.53
04/10/2002,6.53
07/10/2002,6.59
08/10/2002,6.64
09/10/2002,6.55
10/10/2002,6.56
11/10/2002,6.66
14/10/2002,6.84
15/10/2002,6.91
16/10/2002,7.27
17/10/2002,7.66
18/10/2002,7.92
21/10/2002,7.95
22/10/2002,8.15
23/10/2002,8.22
24/10/2002,8.41
25/10/2002,8.64
28/10/2002,8.71
29/10/2002,8.73
30/10/2002,8.79
31/10/2002,8.94
01/11/2002,9.39
04/11/2002,9.74
05/11/2002,9.83
06/11/2002,9.91
07/11/2002,9.93
08/11/2002,10.13
11/11/2002,10.18
12/11/2002,10.03
13/11/2002,10.49
14/11/2002,10.78
18/11/2002,11.00
19/11/2002,11.08
20/11/2002,11.15
21/11/2002,11.23
22/11/2002,11.50
25/11/2002,11.76
26/11/2002,12.09
27/11/2002,12.12
28/11/2002,12.28
29/11/2002,12.47
02/12/2002,12.54
03/12/2002,12.68
04/12/2002,12.73
05/12/2002,12.90
06/12/2002,11.42
09/12/2002,11.62
10/12/2002,11.68
11/12/2002,11.74
12/12/2002,11.90
13/12/2002,12.10
16/12/2002,12.12
17/12/2002,12.17
18/12/2002,12.43
19/12/2002,12.75
20/12/2002,12.87
23/12/2002,12.91
24/12/2002,12.92
26/12/2002,12.98
27/12/2002,13.09
30/12/2002,13.20
31/12/2002,13.24
02/01/2003,13.27
03/01/2003,13.35
06/01/2003,13.48
07/01/2003,13.55
08/01/2003,13.52
09/01/2003,13.51
10/01/2003,11.85
13/01/2003,11.86
14/01/2003,11.78
15/01/2003,11.71
16/01/2003,11.73
17/01/2003,11.70
20/01/2003,11.78
21/01/2003,11.85
22/01/2003,11.80
23/01/2003,11.79
24/01/2003,11.80
27/01/2003,11.83
28/01/2003,11.81
29/01/2003,11.81
30/01/2003,11.72
31/01/2003,11.72
03/02/2003,11.73
04/02/2003,11.75
05/02/2003,11.78
06/02/2003,11.89
07/02/2003,11.94
10/02/2003,11.98
11/02/2003,11.98
12/02/2003,12.01
13/02/2003,10.76
14/02/2003,10.84
17/02/2003,10.97
18/02/2003,11.00
19/02/2003,11.01
20/02/2003,10.96
21/02/2003,11.00
24/02/2003,10.99
25/02/2003,11.02
26/02/2003,11.04
27/02/2003,11.05
28/02/2003,11.07
05/03/2003,11.13
06/03/2003,11.20
07/03/2003,11.21
10/03/2003,11.22
11/03/2003,11.24
12/03/2003,11.27
13/03/2003,11.18
14/03/2003,9.99
17/03/2003,9.94
18/03/2003,9.88
19/03/2003,9.83
20/03/2003,9.82
21/03/2003,9.85
24/03/2003,9.85
25/03/2003,9.90
26/03/2003,9.92
27/03/2003,9.91
