classification,type,bracket,units,employees,salaried,wages.thousand,avg.min.wages
01.1 Produção de lavouras temporárias,c,Total,25785,153479,122971,3296382,"2,5"
01.1 Produção de lavouras temporárias,c,0 a 4,24011,27076,2246,63192,"1,6"
01.1 Produção de lavouras temporárias,c,5 a 9,782,5000,2851,52334,"1,8"
01.1 Produção de lavouras temporárias,c,10 a 19,504,6449,4429,101708,"2,1"
01.1 Produção de lavouras temporárias,c,20 a 29,128,2988,2580,66161,"2,2"
01.1 Produção de lavouras temporárias,c,30 a 49,92,3605,3361,91794,"2,5"
01.1 Produção de lavouras temporárias,c,50 a 99,102,6895,6619,158734,"2,4"
01.1 Produção de lavouras temporárias,c,100 a 249,75,11709,11464,323595,"2,5"
01.1 Produção de lavouras temporárias,c,250 a 499,36,11773,11659,316903,"2,5"
01.1 Produção de lavouras temporárias,c,500 ou mais,55,77984,77762,2121961,"2,6"
01.2 Horticultura e floricultura,c,Total,5830,18770,12260,230209,"1,8"
01.2 Horticultura e floricultura,c,0 a 4,5265,6315,924,14540,"1,3"
01.2 Horticultura e floricultura,c,5 a 9,306,2000,1528,22525,"1,4"
01.2 Horticultura e floricultura,c,10 a 19,149,1947,1580,23315,"1,5"
01.2 Horticultura e floricultura,c,20 a 29,46,X,X,X,X
01.2 Horticultura e floricultura,c,30 a 49,28,1041,973,14707,"1,4"
01.2 Horticultura e floricultura,c,50 a 99,14,X,X,X,X
01.2 Horticultura e floricultura,c,100 a 249,15,2373,2323,46847,2
01.2 Horticultura e floricultura,c,250 a 499,5,1723,1714,46716,"2,9"
01.2 Horticultura e floricultura,c,500 ou mais,2,X,X,X,X
01.3 Produção de lavouras permanentes,c,Total,14711,95503,78446,1474301,"1,7"
01.3 Produção de lavouras permanentes,c,0 a 4,13548,15013,1218,21686,"1,4"
01.3 Produção de lavouras permanentes,c,5 a 9,408,2678,1818,32924,"1,5"
01.3 Produção de lavouras permanentes,c,10 a 19,318,4258,3209,55379,"1,5"
01.3 Produção de lavouras permanentes,c,20 a 29,111,2648,2330,39390,"1,5"
01.3 Produção de lavouras permanentes,c,30 a 49,94,3709,3428,61304,"1,6"
01.3 Produção de lavouras permanentes,c,50 a 99,98,6828,6560,127151,"1,7"
01.3 Produção de lavouras permanentes,c,100 a 249,69,10088,9831,182191,"1,6"
01.3 Produção de lavouras permanentes,c,250 a 499,34,11742,11630,214644,"1,5"
01.3 Produção de lavouras permanentes,c,500 ou mais,31,38539,38422,739633,"1,7"
01.4 Produção de sementes e mudas certificadas,c,Total,661,11655,10578,431147,4
01.4 Produção de sementes e mudas certificadas,c,0 a 4,438,710,191,3671,"1,4"
01.4 Produção de sementes e mudas certificadas,c,5 a 9,90,585,401,7919,"1,9"
01.4 Produção de sementes e mudas certificadas,c,10 a 19,62,830,690,15198,"2,1"
01.4 Produção de sementes e mudas certificadas,c,20 a 29,13,X,X,X,X
01.4 Produção de sementes e mudas certificadas,c,30 a 49,23,896,831,27116,"3,3"
01.4 Produção de sementes e mudas certificadas,c,50 a 99,15,X,X,X,X
01.4 Produção de sementes e mudas certificadas,c,100 a 249,10,1444,1391,35089,"2,2"
01.4 Produção de sementes e mudas certificadas,c,250 a 499,6,2294,2278,90912,5
01.4 Produção de sementes e mudas certificadas,c,500 ou mais,4,X,X,X,X
01.5 Pecuária,c,Total,33367,128854,87738,1850884,2
01.5 Pecuária,c,0 a 4,30115,35501,4368,75456,"1,5"
01.5 Pecuária,c,5 a 9,1563,10224,6407,110630,"1,7"
01.5 Pecuária,c,10 a 19,869,11532,8341,160116,"1,8"
01.5 Pecuária,c,20 a 29,301,7273,6287,123755,"1,9"
01.5 Pecuária,c,30 a 49,237,9041,8205,187855,"2,2"
01.5 Pecuária,c,50 a 99,140,9667,9152,196076,"2,1"
01.5 Pecuária,c,100 a 249,88,12790,12389,280801,"2,1"
01.5 Pecuária,c,250 a 499,35,12094,11946,254683,"2,1"
01.5 Pecuária,c,500 ou mais,19,20732,20643,461511,"2,2"
01.6 Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,c,Total,10754,65129,48957,1060348,2
01.6 Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,c,0 a 4,7947,13586,3909,150195,"1,8"
01.6 Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,c,5 a 9,1421,9241,6423,142496,"1,8"
01.6 Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,c,10 a 19,869,11410,8598,192720,2
