Date;20400 - Household debt without mortgage loans - %
01/2005;15.31
02/2005;15.71
03/2005;16.24
04/2005;16.65
05/2005;17.04
06/2005;17.21
07/2005;17.48
08/2005;17.94
09/2005;18.25
10/2005;18.52
11/2005;18.76
12/2005;18.58
01/2006;19.04
02/2006;19.30
03/2006;19.68
04/2006;20.00
05/2006;20.24
06/2006;20.33
07/2006;20.53
08/2006;20.81
09/2006;20.88
10/2006;20.96
11/2006;21.16
12/2006;21.10
01/2007;21.49
02/2007;21.81
03/2007;22.10
04/2007;22.51
05/2007;23.03
06/2007;23.15
07/2007;23.55
08/2007;23.89
09/2007;24.11
10/2007;24.78
11/2007;25.28
12/2007;25.14
01/2008;25.60
02/2008;25.97
03/2008;26.33
04/2008;26.70
05/2008;27.03
06/2008;27.16
07/2008;27.42
08/2008;27.43
09/2008;27.62
10/2008;28.28
11/2008;27.93
12/2008;27.52
01/2009;27.43
02/2009;27.71
03/2009;27.97
04/2009;28.03
05/2009;28.17
06/2009;28.21
07/2009;28.27
08/2009;28.43
09/2009;28.65
10/2009;28.85
11/2009;28.95
12/2009;28.83
01/2010;29.06
02/2010;29.17
03/2010;29.38
04/2010;29.62
05/2010;29.86
06/2010;29.92
07/2010;30.04
08/2010;30.13
09/2010;30.33
10/2010;30.50
11/2010;30.75
12/2010;30.59
01/2011;30.81
02/2011;30.99
03/2011;31.07
04/2011;31.07
05/2011;31.23
06/2011;31.14
07/2011;31.12
08/2011;31.28
09/2011;31.40
10/2011;31.42
11/2011;31.37
12/2011;31.08
01/2012;31.24
02/2012;31.13
03/2012;31.19
04/2012;31.25
05/2012;31.18
06/2012;31.38
07/2012;31.40
08/2012;31.35
09/2012;31.12
10/2012;31.00
11/2012;30.76
12/2012;30.61
01/2013;30.65
02/2013;30.70
03/2013;30.62
04/2013;30.56
05/2013;30.54
06/2013;30.46
07/2013;30.33
08/2013;30.27
09/2013;30.09
10/2013;29.89
11/2013;29.81
12/2013;29.44
01/2014;29.44
02/2014;29.34
03/2014;29.12
04/2014;29.08
05/2014;29.06
06/2014;29.07
07/2014;28.80
08/2014;28.65
09/2014;28.54
10/2014;28.44
11/2014;28.18
12/2014;27.90
01/2015;27.91
02/2015;27.90
03/2015;27.75
04/2015;27.67
05/2015;27.41
06/2015;27.20
07/2015;27.12
08/2015;27.07
09/2015;27.06
10/2015;26.76
11/2015;26.41
12/2015;25.74
01/2016;25.73
02/2016;25.51
03/2016;25.34
04/2016;25.16
05/2016;25.00
06/2016;24.80
07/2016;24.56
08/2016;24.35
09/2016;24.13
10/2016;24.00
11/2016;23.84
12/2016;23.50
01/2017;23.40
02/2017;23.39
03/2017;23.30
04/2017;23.17
05/2017;23.11
Source;BCB-Depec
