Name (or Code);RIC;ISIN;CUSIP/CINS;SEDOL;Type of Equity;Currency;Exchange;Ex-Dividend Date;Country ofIssuer;Debt / Equity;TRBC Sector;Market Capitalisation(USD)
Ambev SA;ABEV3.SA;BRABEVACNOR1;P0273U106;BG7ZWY7;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;26-Jun-2017;Brazil;0,83;Brewers (NEC);96.700.614.269
Vale SA;VALE5.SA;BRVALEACNPA3;P9661Q148;2257127;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;24-Apr-2017;Brazil;1,49;Iron Ore Mining;50.860.551.050
Cielo SA;CIEL3.SA;BRCIELACNOR3;P2859E100;B614LY3;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;18-Sep-2017;Brazil;1,91;Transaction & Payment Services;20.568.125.521
CCR SA;CCRO3.SA;BRCCROACNOR2;P2170M104;2840970;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;12-Apr-2017;Brazil;5,23;Highway Operators;10.969.493.691
BRF SA;BRFS3.SA;BRBRFSACNOR8;P1905C100;2036995;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;13-Jul-2016;Brazil;2,60;Meat Processing;10.059.563.333
WEG SA;WEGE3.SA;BRWEGEACNOR0;P9832B129;2945422;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;24-Jul-2017;Brazil;1,25;"Electrical Components & Equipment
(NEC)";9.870.218.135
Braskem SA;BRKM5.SA;BRBRKMACNPA4;P18533110;B0774N4;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;04-Oct-2016;Brazil;33,56;Commodity Chemicals (NEC);9.730.776.387
Atacadao SA;CRFB3.SA;BRCRFBACNOR2;P0565P138;BF7LBH4;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;;Brazil;2,65;Food Retail & Distribution (NEC);9.327.370.964
Kroton Educacional SA;KROT3.SA;BRKROTACNOR9;P6115V251;2836946;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;19-May-2017;Brazil;0,27;General Education Services;7.663.520.819
Lojas Americanas SA;LAME4.SA;BRLAMEACNPR6;P6329M105;2516710;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;05-Jan-2017;Brazil;8,85;General Department Stores;7.632.122.156
Raia Drogasil SA;RADL3.SA;BRRADLACNOR0;P7942C102;B7FQV64;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;27-Jun-2017;Brazil;0,94;Retail - Drugs without Grocery;7.308.490.816
Jbs SA;JBSS3.SA;BRJBSSACNOR8;P59695109;B1V74X7;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;02-May-2017;Brazil;3,28;Meat Processing;6.825.137.273
Companhia Brasileira de Distribuicao;PCAR4.SA;BRPCARACNPR0;P3055E464;B5VGS74;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;28-Apr-2016;Brazil;3,31;Food Retail & Distribution (NEC);6.675.063.784
Lojas Renner SA;LREN3.SA;BRLRENACNOR1;P6332C102;B0CGYD6;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;26-Jun-2017;Brazil;1,46;Apparel & Accessories Retailers (NEC);6.644.629.036
Gerdau SA;GGBR4.SA;BRGGBRACNPR8;P2867P113;2645517;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;22-Nov-2016;Brazil;1,26;Iron & Steel (NEC);6.134.112.595
Fibria Celulose SA;FIBR3.SA;BRFIBRACNOR9;P3997N101;B04M7D3;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;10-May-2017;Brazil;1,50;Pulp Mills;6.118.850.042
Klabin SA;KLBN4.SA;BRKLBNACNPR9;P60933101;2813347;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;02-Aug-2017;Brazil;3,13;Paper Products (NEC);5.591.657.359
M Dias Branco SA Industria e Comercio de Alimentos;MDIA3.SA;BRMDIAACNOR7;P64876108;B1FRH89;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;16-Dec-2016;Brazil;0,31;Cookie, Cracker & Pasta Manufacturing;5.437.211.308
Azul SA;AZUL.K;US05501U1060;05501U106;;"American Depository
Receipts";US Dollar;NYSE Consolidated;;Brazil;7,38;Airlines (NEC);4.324.641.587
Embraer SA;EMBR3.SA;BREMBRACNOR4;P3700H201;B16FPG6;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;13-Jun-2017;Brazil;2,01;Commercial Aircraft Manufacturing;3.796.346.895
Localiza Rent a Car SA;RENT3.SA;BRRENTACNOR4;P6330Z111;B08K3S0;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;07-Jul-2017;Brazil;2,38;Passenger Car Rental;3.630.729.502
Suzano Papel e Celulose SA;SUZB5.SA;BRSUZBACNPA3;P88205235;B02GKF0;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;02-May-2017;Brazil;1,90;Paper Products (NEC);3.590.540.693
Natura Cosmeticos SA;NATU3.SA;BRNATUACNOR6;P7088C106;B014K55;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;01-Mar-2017;Brazil;7,45;Personal Products (NEC);3.554.056.224
Companhia Siderurgica Nacional;CSNA3.SA;BRCSNAACNOR6;P8661X103;B019KX8;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;12-Mar-2015;Brazil;5,21;Iron & Steel (NEC);3.474.904.497
Usinas Siderurgicas de Minas Gerais SA Usiminas;USIM5.SA;BRUSIMACNPA6;P9632E117;2386009;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;29-Apr-2015;Brazil;0,82;Iron & Steel (NEC);3.284.665.675
Magazine Luiza SA;MGLU3.SA;BRMGLUACNOR2;P6425Q109;B4975P9;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;26-Apr-2017;Brazil;8,81;Department Stores (NEC);2.714.648.033
Smiles SA;SMLE3.SA;BRSMLEACNOR1;P8T12E100;B97PYY2;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;03-Jul-2017;Brazil;2,03;Business Support Services (NEC);2.639.353.862
Grendene SA;GRND3.SA;BRGRNDACNOR3;P49516100;B03L0B0;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;04-Aug-2017;Brazil;0,11;Footwear (NEC);2.584.049.832
Alpargatas SA;ALPA4.SA;BRALPAACNPR7;P0246W106;B07C796;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;14-Aug-2017;Brazil;0,87;Footwear (NEC);2.231.975.906
Guararapes Confeccoes SA;GUAR3.SA;BRGUARACNOR4;P5012L101;2211747;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;29-Jun-2017;Brazil;1,15;Apparel & Accessories Retailers (NEC);2.105.115.476
Sao Martinho SA;SMTO3.SA;BRSMTOACNOR3;P8493J108;B1P3R43;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;31-Jul-2017;Brazil;1,55;Sugar & Artificial Sweeteners;2.010.463.465
Multiplus SA;MPLU3.SA;BRMPLUACNOR3;P69915109;B3PRVV4;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;09-Aug-2017;Brazil;5,84;Business Support Services (NEC);1.985.000.397
B2W Companhia Digital;BTOW3.SA;BRBTOWACNOR8;P19055113;B1LH3Y1;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;28-Mar-2011;Brazil;2,33;Internet & Mail Order Department Stores;1.965.661.839
Estacio Participacoes SA;ESTC3.SA;BRESTCACNOR5;P3784E108;B23PBF7;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;20-Apr-2017;Brazil;0,70;General Education Services;1.883.717.793
Ecorodovias Infraestrutura e Logistica SA;ECOR3.SA;BRECORACNOR8;P3661R107;B5720R0;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;30-Mar-2017;Brazil;12,06;Highway Operators;1.870.361.398
Whirlpool SA;WHRL4.SA;BRWHRLACNPR2;P9863F130;2597607;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;04-Aug-2017;Brazil;1,67;Appliances, Tools & Housewares (NEC);1.782.172.064
Duratex SA;DTEX3.SA;BRDTEXACNOR3;P3593G146;B27WY88;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;15-Feb-2017;Brazil;1,04;Flooring & Interior Tile Manufacturers;1.701.562.260
Metalurgica Gerdau SA;GOAU4.SA;BRGOAUACNPR8;P4834C118;2648862;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;25-Aug-2015;Brazil;3,66;Iron & Steel (NEC);1.608.168.094
CVC Brasil Operadora e Agencia de Viagens SA;CVCB3.SA;BRCVCBACNOR1;P3R154102;BGSH2S6;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;02-May-2017;Brazil;4,17;Leisure & Recreation (NEC);1.525.023.919
Via Varejo SA;VVAR11.SA;BRVVARCDAM10;P9783A153;BGSHPP4;Brazilian Units;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;13-Sep-2016;Brazil;5,24;Consumer Electronics Retailers;1.438.632.841
Prumo Logistica SA;PRML3.SA;BRPRMLACNOR9;P7922A118;BLD3273;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;;Brazil;1,40;Marine Cargo Handling Services;1.333.265.130
Marfrig Global Foods SA;MRFG3.SA;BRMRFGACNOR0;P64386116;B1YWHR4;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;03-May-2011;Brazil;21,13;Meat Processing;1.299.914.657
Somos Educacao SA;SEDU3.SA;BRSEDUACNOR1;P8T31H100;BYVDGW9;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;04-May-2015;Brazil;3,16;Book Publishing;1.201.581.126
Cia Hering;HGTX3.SA;BRHGTXACNOR9;P25849160;B010V16;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;09-Aug-2017;Brazil;0,26;Apparel & Accessories (NEC);1.158.660.768
Arezzo Industria e Comercio SA;ARZZ3.SA;BRARZZACNOR3;P04508100;B3NS1W0;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;03-Jul-2017;Brazil;0,35;Women's Footwear;1.017.948.829
Ser Educacional SA;SEER3.SA;BRSEERACNOR5;P8T84T100;BFH4PZ9;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;20-Mar-2017;Brazil;1,12;General Education Services;1.015.945.183
