Date;4382 - GDP accumulated in the last 12 months - current prices (R$ million) - R$ (million)
01/1990;0.7
02/1990;1.1
03/1990;1.8
04/1990;2.5
05/1990;3.3
06/1990;4.0
07/1990;4.9
08/1990;5.9
09/1990;7.0
10/1990;8.3
11/1990;9.9
12/1990;11.5
01/1991;13.4
02/1991;15.4
03/1991;17.1
04/1991;19.5
05/1991;22.3
06/1991;25.6
07/1991;29.3
08/1991;33.5
09/1991;37.9
10/1991;44.0
11/1991;51.6
12/1991;60.3
01/1992;71.3
02/1992;85.2
03/1992;102.3
04/1992;122.8
05/1992;149.3
06/1992;182.8
07/1992;224.3
08/1992;275.7
09/1992;341.0
10/1992;422.5
11/1992;523.8
12/1992;641.0
01/1993;791.9
02/1993;982.5
03/1993;1,257.5
04/1993;1,602.1
05/1993;2,053.6
06/1993;2,629.5
07/1993;3,424.9
08/1993;4,517.7
09/1993;6,025.3
10/1993;8,007.5
11/1993;10,689.9
12/1993;14,097.1
01/1994;18,495.9
02/1994;24,082.0
03/1994;32,307.8
04/1994;44,768.5
05/1994;64,791.0
06/1994;97,304.2
07/1994;137,250.8
08/1994;179,974.6
09/1994;222,232.5
10/1994;265,396.1
11/1994;308,529.4
12/1994;349,204.7
01/1995;391,670.5
02/1995;435,832.0
03/1995;487,335.9
04/1995;532,296.6
05/1995;568,142.9
06/1995;591,742.5
07/1995;609,742.5
08/1995;626,819.5
09/1995;643,594.1
10/1995;661,787.3
11/1995;683,624.1
12/1995;705,991.6
01/1996;723,096.2
02/1996;735,343.8
03/1996;738,307.4
04/1996;744,537.0
05/1996;757,675.1
06/1996;772,051.9
07/1996;788,233.8
08/1996;802,082.2
09/1996;813,215.9
10/1996;826,987.9
11/1996;839,674.2
12/1996;854,763.6
01/1997;868,213.0
02/1997;877,083.6
03/1997;884,557.4
04/1997;894,114.7
05/1997;902,736.7
06/1997;912,836.2
07/1997;919,924.9
08/1997;927,258.7
09/1997;937,501.4
10/1997;947,598.5
11/1997;952,539.5
12/1997;952,089.2
01/1998;953,870.4
02/1998;958,625.8
03/1998;968,672.8
04/1998;976,262.5
05/1998;983,359.2
06/1998;987,719.2
07/1998;992,599.0
08/1998;996,837.8
09/1998;999,584.0
10/1998;999,589.6
11/1998;1,000,516.0
12/1998;1,002,351.0
01/1999;1,003,923.4
02/1999;1,009,024.4
03/1999;1,017,318.3
04/1999;1,023,891.3
05/1999;1,027,906.8
06/1999;1,034,091.4
07/1999;1,038,383.3
08/1999;1,044,295.4
09/1999;1,050,173.6
10/1999;1,058,743.2
11/1999;1,071,989.7
12/1999;1,087,710.5
01/2000;1,099,350.8
02/2000;1,110,192.1
03/2000;1,113,969.4
04/2000;1,117,606.6
05/2000;1,127,110.5
06/2000;1,138,049.0
07/2000;1,150,228.9
08/2000;1,163,123.4
09/2000;1,172,819.2
10/2000;1,183,898.0
11/2000;1,192,012.9
12/2000;1,199,092.1
01/2001;1,209,046.1
02/2001;1,218,911.0
03/2001;1,234,635.0
04/2001;1,250,830.7
05/2001;1,263,306.0
06/2001;1,265,570.0
07/2001;1,272,918.6
08/2001;1,280,805.4
09/2001;1,289,198.6
10/2001;1,298,386.5
11/2001;1,308,590.4
12/2001;1,315,755.5
01/2002;1,325,599.6
02/2002;1,335,441.4
03/2002;1,345,582.3
04/2002;1,358,396.3
05/2002;1,370,746.6
06/2002;1,389,221.6
07/2002;1,405,319.2
08/2002;1,420,054.7
09/2002;1,436,491.7
10/2002;1,453,478.1
11/2002;1,471,562.8
12/2002;1,488,787.3
01/2003;1,503,589.9
02/2003;1,523,486.4
03/2003;1,543,732.2
04/2003;1,564,734.4
05/2003;1,580,787.7
06/2003;1,595,356.7
07/2003;1,614,470.7
08/2003;1,631,490.0
09/2003;1,654,912.0
10/2003;1,676,712.4
11/2003;1,694,390.2
12/2003;1,717,950.4
01/2004;1,735,331.5
02/2004;1,746,819.2
03/2004;1,765,492.2
04/2004;1,781,058.0
05/2004;1,800,951.1
06/2004;1,828,299.9
07/2004;1,853,700.2
08/2004;1,878,059.7
09/2004;1,894,202.4
10/2004;1,909,813.0
11/2004;1,933,090.2
12/2004;1,957,751.2
01/2005;1,976,732.7
02/2005;1,994,573.0
03/2005;2,012,678.1
04/2005;2,032,903.1
05/2005;2,050,900.9
06/2005;2,066,440.5
07/2005;2,079,143.4
08/2005;2,097,211.0
09/2005;2,114,047.4
10/2005;2,132,693.9
11/2005;2,150,566.8
12/2005;2,170,584.5
01/2006;2,192,609.2
02/2006;2,210,389.8
03/2006;2,225,144.6
04/2006;2,232,996.3
05/2006;2,253,374.0
06/2006;2,271,564.1
07/2006;2,294,464.8
08/2006;2,317,036.2
09/2006;2,336,552.6
10/2006;2,361,641.3
11/2006;2,386,570.9
12/2006;2,409,449.9
01/2007;2,435,015.7
02/2007;2,459,237.3
03/2007;2,486,602.5
