Tipo;Faixas;Número de empresas e outras organizações (Unidades);Pessoal ocupado total (Pessoas);Salário médio mensal (Salários mínimos)
A Agricultura, pecuária, produção florestal, pesca e aquicultura;0 a 4;88848;110599;1,6
A Agricultura, pecuária, produção florestal, pesca e aquicultura;5 a 9;6009;39090;1,6
A Agricultura, pecuária, produção florestal, pesca e aquicultura;10 a 19;3592;47512;1,8
A Agricultura, pecuária, produção florestal, pesca e aquicultura;20 a 29;1074;25712;1,9
A Agricultura, pecuária, produção florestal, pesca e aquicultura;30 a 49;848;X;X
A Agricultura, pecuária, produção florestal, pesca e aquicultura;50 a 99;601;X;X
A Agricultura, pecuária, produção florestal, pesca e aquicultura;100 a 249;379;56782;2,1
A Agricultura, pecuária, produção florestal, pesca e aquicultura;250 a 499;159;X;X
A Agricultura, pecuária, produção florestal, pesca e aquicultura;500 ou mais;136;X;X
B Indústrias extrativas;0 a 4;6254;X;X
B Indústrias extrativas;5 a 9;1680;11083;2
B Indústrias extrativas;10 a 19;1168;X;X
B Indústrias extrativas;20 a 29;482;11485;2,5
B Indústrias extrativas;30 a 49;363;13881;3
B Indústrias extrativas;50 a 99;288;19742;3,4
B Indústrias extrativas;100 a 249;145;21489;6,6
B Indústrias extrativas;250 a 499;42;14157;7,4
B Indústrias extrativas;500 ou mais;51;109964;6,7
C Indústrias de transformação;0 a 4;232271;469021;1,6
C Indústrias de transformação;5 a 9;81414;538133;1,7
C Indústrias de transformação;10 a 19;54928;743404;1,9
C Indústrias de transformação;20 a 29;19846;474060;2
C Indústrias de transformação;30 a 49;13946;X;X
C Indústrias de transformação;50 a 99;10329;711714;2,4
C Indústrias de transformação;100 a 249;5555;849025;3
C Indústrias de transformação;250 a 499;1863;X;X
C Indústrias de transformação;500 ou mais;1763;X;X
D Eletricidade e gás;0 a 4;1659;X;X
D Eletricidade e gás;5 a 9;286;1864;6,3
D Eletricidade e gás;10 a 19;234;3136;6,6
D Eletricidade e gás;20 a 29;90;2196;6,4
D Eletricidade e gás;30 a 49;86;3269;6,7
D Eletricidade e gás;50 a 99;80;5652;6
D Eletricidade e gás;100 a 249;47;6816;6,4
D Eletricidade e gás;250 a 499;19;6639;8,9
D Eletricidade e gás;500 ou mais;49;X;X
F Construção;0 a 4;170090;311959;1,7
F Construção;5 a 9;35620;232389;1,8
F Construção;10 a 19;20578;275288;1,9
F Construção;20 a 29;7368;X;X
F Construção;30 a 49;5678;214934;2,1
F Construção;50 a 99;4204;290163;2,3
F Construção;100 a 249;2477;373647;2,4
F Construção;250 a 499;785;X;X
F Construção;500 ou mais;470;712043;3,9
"G Comércio; reparação de veículos automotores e motocicletas";0 a 4;1462597;2829473;1,5
"G Comércio; reparação de veículos automotores e motocicletas";5 a 9;335920;2166096;1,6
"G Comércio; reparação de veículos automotores e motocicletas";10 a 19;144630;1897231;1,8
"G Comércio; reparação de veículos automotores e motocicletas";20 a 29;29345;X;X
"G Comércio; reparação de veículos automotores e motocicletas";30 a 49;17061;636830;2
"G Comércio; reparação de veículos automotores e motocicletas";50 a 99;9114;X;X
"G Comércio; reparação de veículos automotores e motocicletas";100 a 249;4376;655432;2,6
"G Comércio; reparação de veículos automotores e motocicletas";250 a 499;1130;X;X
"G Comércio; reparação de veículos automotores e motocicletas";500 ou mais;884;X;X
H Transporte, armazenagem e correio;0 a 4;175337;319237;1,9
H Transporte, armazenagem e correio;5 a 9;30594;196946;1,9
H Transporte, armazenagem e correio;10 a 19;15246;202979;2
H Transporte, armazenagem e correio;20 a 29;4591;109510;2,2
H Transporte, armazenagem e correio;30 a 49;3835;145144;2,3
H Transporte, armazenagem e correio;50 a 99;2809;194273;2,4
H Transporte, armazenagem e correio;100 a 249;1658;254482;2,9
H Transporte, armazenagem e correio;250 a 499;691;241485;3,2
H Transporte, armazenagem e correio;500 ou mais;724;1089345;3,8
I Alojamento e alimentação;0 a 4;193847;378855;1,3
I Alojamento e alimentação;5 a 9;65862;435416;1,4
I Alojamento e alimentação;10 a 19;38188;508354;1,5
I Alojamento e alimentação;20 a 29;9793;232329;1,5
I Alojamento e alimentação;30 a 49;6186;229063;1,6
I Alojamento e alimentação;50 a 99;2281;X;X
I Alojamento e alimentação;100 a 249;617;X;X
I Alojamento e alimentação;250 a 499;146;50453;1,9
I Alojamento e alimentação;500 ou mais;124;X;X
J Informação e comunicação;0 a 4;113092;186768;2,4
J Informação e comunicação;5 a 9;12384;80931;2,4
J Informação e comunicação;10 a 19;7037;93434;2,8
J Informação e comunicação;20 a 29;2010;47834;3,5
J Informação e comunicação;30 a 49;1551;58513;3,8
J Informação e comunicação;50 a 99;968;66597;4,9
J Informação e comunicação;100 a 249;597;91205;5,6
J Informação e comunicação;250 a 499;203;70536;6
J Informação e comunicação;500 ou mais;175;414017;6,6
K Atividades financeiras, de seguros e serviços relacionados;0 a 4;67921;106477;2,8
K Atividades financeiras, de seguros e serviços relacionados;5 a 9;7438;46270;3,2
