Tipo;Número de empresas e outras organizações (Unidades);Pessoal ocupado total (Pessoas);Salário médio mensal (Salários mínimos)
A Agricultura, pecuária, produção florestal, pesca e aquicultura;101646;578149;2,1
B Indústrias extrativas;10473;228998;5,5
C Indústrias de transformação;421915;8263526;3,3
D Eletricidade e gás;2550;124155;8,6
F Construção;247270;2854962;2,6
"G Comércio; reparação de veículos automotores e motocicletas";2005057;11804523;2
H Transporte, armazenagem e correio;235485;2753401;3
I Alojamento e alimentação;317044;2324532;1,6
J Informação e comunicação;138017;1109835;5,3
K Atividades financeiras, de seguros e serviços relacionados;81043;1087199;7,4
L Atividades imobiliárias;79080;284163;2,7
M Atividades profissionais, científicas e técnicas;267602;1318878;3,7
N Atividades administrativas e serviços complementares;286342;4148725;1,9
P Educação;99405;1154304;2,1
Q Saúde humana e serviços sociais;162967;1175919;2,4
R Artes, cultura, esporte e recreação;50859;224645;1,6
S Outras atividades de serviços;106673;483758;1,7
